
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
4.5289757990362762E+002, 4.5289757990362762E+002, 0.0000000000000000E+000, 2.7467254584352027E+001, 0.0000000000000000E+000
4.5708818961488203E+002, 4.5708818961488203E+002, 0.0000000000000000E+000, 2.7467254549946073E+001, 0.0000000000000000E+000
4.6131757456038650E+002, 4.6131757456038650E+002, 0.0000000000000000E+000, 2.7467254514900450E+001, 0.0000000000000000E+000
4.6558609352296617E+002, 4.6558609352296617E+002, 0.0000000000000000E+000, 2.7467254479203646E+001, 0.0000000000000000E+000
4.6989410860522275E+002, 4.6989410860522275E+002, 0.0000000000000000E+000, 2.7467254442841984E+001, 0.0000000000000000E+000
4.7424198526025208E+002, 4.7424198526025208E+002, 0.0000000000000000E+000, 2.7467254405805694E+001, 0.0000000000000000E+000
4.7863009232264591E+002, 4.7863009232264591E+002, 0.0000000000000000E+000, 2.7467254368080006E+001, 0.0000000000000000E+000
4.8305880203978035E+002, 4.8305880203978035E+002, 0.0000000000000000E+000, 2.7467254329653997E+001, 0.0000000000000000E+000
4.8752849010339412E+002, 4.8752849010339412E+002, 0.0000000000000000E+000, 2.7467254290512635E+001, 0.0000000000000000E+000
4.9203953568145886E+002, 4.9203953568145886E+002, 0.0000000000000000E+000, 2.7467254250643379E+001, 0.0000000000000000E+000
4.9659232145034412E+002, 4.9659232145034412E+002, 0.0000000000000000E+000, 2.7467254210033396E+001, 0.0000000000000000E+000
5.0118723362728042E+002, 5.0118723362728042E+002, 0.0000000000000000E+000, 2.7467254168668418E+001, 0.0000000000000000E+000
5.0582466200312228E+002, 5.0582466200312228E+002, 0.0000000000000000E+000, 2.7467254126533931E+001, 0.0000000000000000E+000
5.1050499997541465E+002, 5.1050499997541465E+002, 0.0000000000000000E+000, 2.7467254083616830E+001, 0.0000000000000000E+000
5.1522864458176502E+002, 5.1522864458176502E+002, 0.0000000000000000E+000, 2.7467254039901839E+001, 0.0000000000000000E+000
5.1999599653352470E+002, 5.1999599653352470E+002, 0.0000000000000000E+000, 2.7467253995373213E+001, 0.0000000000000000E+000
5.2480746024978146E+002, 5.2480746024978146E+002, 0.0000000000000000E+000, 2.7467253950018161E+001, 0.0000000000000000E+000
5.2966344389166682E+002, 5.2966344389166682E+002, 0.0000000000000000E+000, 2.7467253903819177E+001, 0.0000000000000000E+000
5.3456435939698076E+002, 5.3456435939698076E+002, 0.0000000000000000E+000, 2.7467253856761261E+001, 0.0000000000000000E+000
5.3951062251513690E+002, 5.3951062251513690E+002, 0.0000000000000000E+000, 2.7467253808828001E+001, 0.0000000000000000E+000
5.4450265284243062E+002, 5.4450265284243062E+002, 0.0000000000000000E+000, 2.7467253760004432E+001, 0.0000000000000000E+000
5.4954087385763410E+002, 5.4954087385763410E+002, 0.0000000000000000E+000, 2.7467253710272331E+001, 0.0000000000000000E+000
5.5462571295792043E+002, 5.5462571295792043E+002, 0.0000000000000000E+000, 2.7467253659616375E+001, 0.0000000000000000E+000
